ID,Name,Description,ColumnSpec,Nexus_File
1,1,,,data
2,2,,,data
3,3,,,data
4,4,,,data
5,5,,,data
6,6,,,data
7,7,,,data
8,8,,,data
9,9,,,data
10,10,,,data
11,11,,,data
12,12,,,data
13,13,,,data
14,14,,,data
15,15,,,data
16,16,,,data
17,17,,,data
18,18,,,data
19,19,,,data
20,20,,,data
21,21,,,data
22,22,,,data
23,23,,,data
24,24,,,data
25,25,,,data
26,26,,,data
27,27,,,data
28,28,,,data
29,29,,,data
30,30,,,data
31,31,,,data
32,32,,,data
33,33,,,data
34,34,,,data
35,35,,,data
36,36,,,data
37,37,,,data
38,38,,,data
39,39,,,data
40,40,,,data
41,41,,,data
42,42,,,data
43,43,,,data
44,44,,,data
45,45,,,data
46,46,,,data
47,47,,,data
48,48,,,data
49,49,,,data
50,50,,,data
51,51,,,data
52,52,,,data
53,53,,,data
54,54,,,data
55,55,,,data
56,56,,,data
57,57,,,data
58,58,,,data
59,59,,,data
60,60,,,data
61,61,,,data
62,62,,,data
63,63,,,data
64,64,,,data
65,65,,,data
66,66,,,data
67,67,,,data
68,68,,,data
69,69,,,data
70,70,,,data
71,71,,,data
72,72,,,data
73,73,,,data
74,74,,,data
75,75,,,data
76,76,,,data
77,77,,,data
78,78,,,data
79,79,,,data
80,80,,,data
81,81,,,data
82,82,,,data
83,83,,,data
84,84,,,data
85,85,,,data
86,86,,,data
87,87,,,data
88,88,,,data
89,89,,,data
90,90,,,data
91,91,,,data
92,92,,,data
93,93,,,data
94,94,,,data
95,95,,,data
96,96,,,data
97,97,,,data
98,98,,,data
99,99,,,data
100,100,,,data
101,101,,,data
102,102,,,data
103,103,,,data
104,104,,,data
105,105,,,data
106,106,,,data
107,107,,,data
108,108,,,data
109,109,,,data
110,110,,,data
111,111,,,data
112,112,,,data
113,113,,,data
114,114,,,data
115,115,,,data
116,116,,,data
