ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,con_50_majrule,summary.trees,true,summary,bayesian,substitutions,Sicoli2014
posterior-1,gen.1352500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-2,gen.520000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-3,gen.1111000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-4,gen.1254000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-5,gen.896000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-6,gen.1052500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-7,gen.1658500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-8,gen.1392500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-9,gen.830500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-10,gen.1263500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-11,gen.753500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-12,gen.1386000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-13,gen.1034000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-14,gen.1650500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-15,gen.1784000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-16,gen.856500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-17,gen.1752000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-18,gen.1632000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-19,gen.882000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-20,gen.1226000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-21,gen.686000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-22,gen.1587000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-23,gen.1343500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-24,gen.1697500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-25,gen.1531500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-26,gen.840500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-27,gen.802500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-28,gen.920500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-29,gen.1971500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-30,gen.658500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-31,gen.888500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-32,gen.1199000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-33,gen.1159000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-34,gen.547500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-35,gen.1439000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-36,gen.1194500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-37,gen.554500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-38,gen.1545000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-39,gen.1914000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-40,gen.1350000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-41,gen.506500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-42,gen.513000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-43,gen.1859000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-44,gen.834500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-45,gen.1687500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-46,gen.865500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-47,gen.1086000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-48,gen.703000,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
posterior-49,gen.1835500,posterior.trees,true,sample,bayesian,substitutions,Sicoli2014
